Date,MMAX,AAPL,AMZN,GOOGL,MCD,GM,TSLA,PFE,SBUX,TWTR,VZ,WYNN,KHC,JNJ,HST,HLT,FDX,DPZ,SP500,DJIA,VIXCLS,DEXJPUS,DEXUSUK,DEXUSEU
1,33.48231888,34.46574402,50.06499863,976.6199951,137.422821,30.54882813,76.52200317,26.87083817,53.83639526,18.14999962,36.30482101,128.1568451,70.98439789,119.2829819,16.14064598,63.8239975,199.3254547,208.3254089,2434.5,21397.29,10.48,111.36,1.2659,1.1148
2,34.00834274,34.6195755,50.18700027,986.0900269,137.2807617,30.55776405,76.69000244,26.95761871,54.10780334,18.5,36.28084564,129.3444519,70.78524017,119.6161194,16.18386841,64.01978302,202.8291931,207.3320007,2438.3,21394.76,10.02,111.26,1.2727,1.1196
3,33.78517914,34.51072311,49.69900131,972.0900269,136.6771088,30.84368706,75.4980011,26.85506058,53.95400238,18.29000092,36.56860352,128.2503815,70.85694122,119.5371933,16.38271141,63.8533783,202.838623,209.0800629,2439.07,21409.55,9.9,111.48,1.2732,1.1196
4,31.4897995,34.01607132,48.8390007,948.0900269,136.4640656,30.56669617,72.47399902,26.6420517,53.33882141,18.12000084,35.84122467,126.8290024,69.71768951,118.371109,16.26167679,62.11093521,201.8684845,203.5970612,2419.38,21310.66,11.06,112.42,1.2791,1.13
5,32.0237999,34.51308823,49.51649857,961.0100098,136.9789429,30.89729691,74.2480011,26.6262722,53.53786087,17.95000076,35.84122467,127.1189117,69.96466064,117.3277893,16.25294113,62.02283096,204.5245361,204.0364838,2440.69,21454.61,10.03,112.18,1.2936,1.1364
6,31.01159477,34.00423813,48.79650116,937.8200073,135.9402771,31.14747429,72.15000153,26.53160095,52.79603577,17.64999962,35.497509,124.1452255,68.32349396,116.29319,16.14807892,60.93625259,202.7161713,201.3140717,2419.7,21287.03,11.44,112.32,1.2984,1.142
7,30.88407898,34.08471298,48.40000153,929.6799927,135.9669342,31.21001816,72.3219986,26.50004005,52.7508049,17.87000084,35.69734192,125.4169769,68.22788239,115.9863281,15.96458244,60.54469681,204.6940765,202.0591431,2423.41,21349.63,11.18,112.4,1.2995,1.1411
8,30.75655746,33.96164322,47.68299866,919.460022,135.3809967,31.78185844,70.52400208,26.68150139,52.6965332,17.64999962,35.96912384,122.5087814,67.295784,116.5211563,16.43644142,60.01608658,204.7411804,200.5212555,2429.01,21479.27,11.22,113.32,1.2951,1.1367
9,31.09926224,34.10128403,48.56999969,932.2600098,135.8870087,31.28149605,65.41799927,26.53948593,52.41608047,17.81999969,35.68935013,123.8273087,66.75404358,117.1699677,16.34905815,60.21186829,205.6170807,198.7158356,2432.54,21478.17,11.07,113.2,1.2934,1.1336
10,29.72044182,33.7794075,48.25699997,927.6900024,135.9047546,31.1564064,61.76599884,26.20813942,52.10849762,17.92000008,35.24234772,122.4152985,65.98123932,116.1879883,15.99079514,59.79096222,202.5277863,199.4895935,2409.75,21320.04,12.54,113.28,1.2967,1.1409
